ID;Titre;Catégorie;Secteurs;Menace;DIC;ISO27001;DORA;NIS2;Impact;Scénario;Mesures
R-BCP-01;PRA non documenté;Continuité;Énergie, Finance;Défaut de reprise;D;A.5.30;Art. 11;Gestion de crise;5;En cas d'incendie, personne ne sait comment redémarrer.;Rédiger un Plan de Reprise d'Activité détaillé.
R-IT-21;Shadow IT (SaaS non autorisé);Opérations;Tous;Fuite de données;C;A.8.1;Art. 9;Hygiène informatique;3;Des employés utilisent des outils IA ou Cloud non approuvés pour traiter des données clients.;Inventaire des services Cloud et blocage DNS/Proxy.
R-IT-22;Empoisonnement de modèle IA (Prompt Injection);Développement;Tous;Manipulation;I;A.8.25;Art. 9;Sécurité cycle de vie;4;Un attaquant manipule l'IA interne via des requêtes pour exfiltrer des données.;Filtrage des entrées/sorties et monitoring LLM.
R-IT-23;Épuisement de ressources Cloud;Infrastructure;Finance, Santé;Déni de service;D;A.8.6;Art. 11;Continuité;3;Une boucle infinie ou une attaque DDOS fait exploser la facture Cloud et coupe le service.;Mise en place de quotas et d'alertes de facturation.
R-IT-24;Compromission de la chaîne de build (CI/CD);Développement;Tous;Sabotage;I;A.8.25;Art. 15;Intégrité logiciels;5;Un script malveillant est injecté dans le pipeline de déploiement automatique.;Signature des commits et isolation des environnements de build.
R-IT-25;Secrets exposés dans les métadonnées;Développement;Secteur Public;Exfiltration;C;A.8.11;Art. 9;Protection données;4;Des clés d'accès sont oubliées dans les commentaires ou les fichiers de config Docker.;Scan automatique des secrets (Gitleaks, TruffleHog).
R-IT-26;Usurpation d'identité via Deepfake;RH;Finance;Fraude;C;6.3;Art. 13;Sensibilisation;5;Un attaquant simule la voix ou le visage du CEO lors d'un call pour valider un virement.;Double validation hors canal vidéo pour les actions sensibles.
R-IT-27;Défaut de nettoyage des assets cloud (Ghost assets);Infrastructure;Tous;Accès non autorisé;C;A.8.1;Art. 9;Hygiène informatique;3;Des instances de test oubliées restent ouvertes avec des vulnérabilités critiques.;Politique de décommissionnement automatique (Terraform).
R-IT-28;Attaque par 'Man-in-the-Middle' sur Wi-Fi invité;Physique;Tous;Espionnage;C;A.8.20;Art. 9;Sécurité réseaux;2;Le Wi-Fi invité permet de rebondir sur le réseau de gestion de l'immeuble.;Isolation stricte du Wi-Fi invité via VLAN et PSK.
R-IT-29;Incapacité à restaurer (Backups chiffrés);Opérations;Tous;Perte totale;D;A.8.14;Art. 12;Résilience;5;Le ransomware a chiffré les données ET les serveurs de sauvegarde en ligne.;Sauvegardes immuables et déconnectées (Air-gap).
R-IT-30;Exfiltration de données via tunnels DNS;Opérations;Finance;Exfiltration;C;A.8.20;Art. 9;Détection;4;Un malware fait sortir des données par petites quantités via des requêtes DNS légitimes.;Analyse comportementale du trafic réseau (NDR).
R-OT-01;Accès distant de maintenance non sécurisé;OT;Industrie, Énergie;Accès non autorisé;DIC;A.5.22;N/A;Accès tiers;5;Un technicien utilise TeamViewer sans MFA pour accéder à un automate (PLC).;Passerelle d'accès sécurisée (PAM) avec approbation.
R-OT-02;Infection par média amovible (Clé USB de maintenance);OT;Industrie;Malware;D;A.7.9;N/A;Hygiène informatique;4;Une clé USB utilisée pour mettre à jour un automate contient un virus.;Station blanche de décontamination obligatoire.
R-OT-03;Saturation du bus de terrain (DoS industriel);OT;Énergie;Indisponibilité;D;N/A;N/A;Sécurité réseaux;5;Un trafic réseau excessif fait planter les communications Modbus ou Profinet.;Segmentation par zones et conduits (IEC 62443).
R-OT-04;Obsolescence des OS industriels (XP, Win7);OT;Industrie, Santé;Exploitation faille;DIC;A.8.8;N/A;Maintenance;4;Des machines critiques tournent sur Windows XP et ne peuvent pas être patchées.;Virtualisation ou isolation réseau stricte (Sandboxing).
R-OT-05;Modification non autorisée de la logique automate;OT;Énergie;Sabotage;I;A.8.1;N/A;Intégrité;5;Un attaquant modifie le programme d'un PLC pour forcer une vanne.;Contrôle d'intégrité des firmwares et checksums réguliers.
R-OT-06;Falsification de données de capteurs (Spoofing);OT;Industrie;Mauvaise décision;I;N/A;N/A;Sécurité OT;4;Le système SCADA affiche une pression normale alors qu'elle est critique.;Validation croisée des capteurs et alertes d'incohérence.
R-OT-07;Défaut de redondance des réseaux de contrôle;OT;Énergie;Indisponibilité;D;A.5.30;N/A;Continuité;5;La rupture d'un seul câble fibre optique arrête toute l'usine.;Architecture en anneau redondant (HSR/PRP).
R-OT-08;Accès physique aux ports RJ45 en atelier;OT;Industrie;Intrusion;C;A.7.2;N/A;Sécurité physique;3;Un visiteur branche un petit boîtier sur une prise réseau libre dans l'usine.;Condamnation physique des ports inutilisés et Port Security (802.1X).
R-OT-09;Absence de visibilité sur les assets OT;OT;Industrie;Défaut de gestion;DIC;A.8.1;N/A;Inventaire;4;On ignore qu'une caméra IP non sécurisée est connectée au réseau industriel.;Découverte passive des actifs (Sondes type Claroty/Nozomi).
R-OT-10;Attaque par rebond IT vers OT;OT;Tous;Sabotage;D;A.8.20;N/A;Segmentation;5;Un pirate entre par le mail (IT) et finit par atteindre le SCADA (OT).;Mise en œuvre d'une DMZ industrielle et pare-feu d'inspection profonde (DPI).
R-PHY-03;Accès par 'Tailgating' (Talonnage);Physique;Tous;Intrusion;C;A.7.2;Art. 9;Sécurité physique;3;Un inconnu suit un employé autorisé à travers une porte sécurisée sans badger.;Installation de sas unipersonnels ou sensibilisation du personnel.
R-PHY-04;Clé de proximité (Badge) clonée;Physique;Tous;Intrusion;C;A.7.2;Art. 9;Contrôle d'accès;4;Un attaquant utilise un lecteur RFID bon marché pour copier le badge d'un employé dans les transports.;Utiliser des badges chiffrés (Mifare Desfire EV3) et désactiver les technos obsolètes.
R-PHY-05;Perte de traçabilité des clés physiques;Physique;Industrie, Énergie;Vol;DIC;A.7.2;Art. 9;Sécurité physique;3;On ne sait plus qui possède le pass général des locaux techniques ou des armoires OT.;Mise en place d'une armoire à clés électronique avec logs.
R-PHY-06;Accès non surveillé aux zones de livraison;Physique;Industrie;Vol / Sabotage;D;A.7.3;Art. 9;Sécurité installations;4;Un livreur pénètre seul dans la zone de stockage et accède aux baies serveurs mal fermées.;Séparation stricte quai de déchargement et zones de production.
R-PHY-07;Défaut de détection d'incendie;Physique;Tous;Sinistre;D;A.7.5;Art. 11;Continuité;5;Un départ de feu dans le local serveur n'est pas détecté, détruisant l'ensemble des équipements.;Système de détection précoce (VESDA) et extinction automatique par gaz.
R-PHY-08;Inondation ou dégât des eaux;Physique;Tous;Sinistre;D;A.7.5;Art. 11;Continuité;4;Une rupture de canalisation dans l'étage supérieur inonde la salle informatique.;Sondes d'humidité au sol et éviter de placer les serveurs en sous-sol.
R-PHY-09;Vol de supports de sauvegarde hors site;Physique;Tous;Exfiltration;C;A.7.9;Art. 9;Protection données;5;Les bandes de sauvegarde transportées vers un site tiers sont volées dans le véhicule.;Chiffrement systématique des backups (AES-256) avant transport.
R-PHY-10;Écrans visibles depuis l'extérieur (Visual Sniffing);Physique;Secteur Public, Finance;Espionnage;C;A.7.1;Art. 9;Protection info;2;Un passant photographie des informations confidentielles à travers une fenêtre au rez-de-chaussée.;Filtres de confidentialité et orientation des postes de travail.
R-PHY-11;Documents sensibles laissés sur l'imprimante;Physique;Tous;Fuite de données;C;A.7.1;Art. 9;Protection info;2;La liste des salaires reste dans le bac de l'imprimante partagée pendant 2 heures.;Mise en place de l'impression sécurisée par badge (Follow-me print).
R-PHY-12;Vandalisme sur terminaux publics (Bornes);Physique;Secteur Public;Sabotage;D;A.7.9;Art. 9;Résilience;3;Un individu dégrade physiquement une borne de paiement ou d'accueil.;Boîtiers anti-vandales et capteurs d'arrachement.
R-PHY-13;Panne de climatisation prolongée;Physique;Tous;Surchauffe;D;A.7.5;Art. 11;Continuité;4;L'arrêt de la clim provoque un arrêt thermique des commutateurs réseau critiques.;Redondance N+1 des groupes froids et alertes SMS de température.
R-PHY-14;Coupure fibre accidentelle (Travaux);Physique;Industrie, Énergie;Rupture lien;D;N/A;Art. 11;Continuité;5;Des travaux de voirie sectionnent le câble fibre unique du site.;Double adduction (deux chemins physiques différents) pour Internet.
R-PHY-15;Alimentation électrique instable (Surtension);Physique;Tous;Casse matériel;D;A.7.5;Art. 9;Protection matérielle;3;Un orage grille les alimentations des serveurs non protégés.;Installation d'onduleurs (UPS) et de parafoudres.
R-PHY-16;Accès aux ports console en libre-service;Physique;Industrie;Intrusion;C;A.8.20;N/A;Sécurité réseaux;4;Un switch dans un couloir permet de se brancher directement en mode console.;Armoires réseau verrouillées et ports inutilisés désactivés.
R-PHY-17;Espionnage via 'Shoulder Surfing';Physique;Tous;Vol d'identifiants;C;6.3;Art. 13;Sensibilisation;2;Un attaquant observe le code de déverrouillage d'un admin dans l'ascenseur.;Sensibilisation à la discrétion dans les lieux publics.
R-PHY-18;Infiltration par les faux-plafonds;Physique;Finance;Intrusion;C;A.7.2;Art. 9;Sécurité physique;4;Les cloisons des bureaux sécurisés s'arrêtent au faux-plafond, permettant de passer par-dessus.;Cloisonnement de dalle à dalle pour les zones critiques (Salle serveurs).
R-PHY-19;Vol de composants internes (RAM/CPU);Physique;Santé, Énergie;Sabotage;D;A.7.9;Art. 9;Intégrité;3;Un prestataire de nettoyage ouvre les boîtiers PC pour voler de la mémoire vive.;Cadenas de boîtier ou détecteurs d'ouverture de châssis.
R-PHY-20;Indisponibilité des systèmes de sécurité;Physique;Tous;Aveuglement;DIC;A.7.2;Art. 9;Gestion sécurité;4;Le serveur de vidéosurveillance tombe en panne, laissant le site sans surveillance visuelle.;Monitoring des équipements de sécurité physique par l'équipe IT.
R-SUP-03;Compromission du dépôt de code tiers (Open Source);Supply Chain;Tous;Injection de code;I;A.8.28;Art. 28;Sécurité cycle de vie;5;Une librairie JavaScript populaire est piratée et contient un mineur de crypto ou un stealer.;Scan de dépendances (SCA) et figer les versions (lockfiles).
R-SUP-04;Rebond via outil de télémaintenance prestataire;Supply Chain;Industrie, Énergie;Accès non autorisé;C;A.5.22;Art. 29;Accès tiers;5;Un pirate pirate le PC d'un technicien de maintenance et utilise son VPN actif pour entrer chez le client.;MFA sur accès tiers et sessions enregistrées (PAM).
R-SUP-05;Indisponibilité d'un fournisseur d'identité (IdP);Supply Chain;Tous;Blocage accès;D;A.8.2;Art. 11;Continuité;5;Une panne majeure chez Microsoft Azure AD ou Okta empêche tous les employés de se connecter aux outils.;Prévoir un accès de secours 'Break-glass' local.
R-SUP-06;Modification malveillante du firmware à l'usine;Supply Chain;Énergie, Défense;Espionnage;C;A.8.25;Art. 28;Intégrité matérielle;5;Un switch réseau est livré avec un micro-logiciel espion implanté lors de sa fabrication à l'étranger.;Achat via canaux certifiés et contrôle d'intégrité des firmwares.
R-SUP-07;Cessation d'activité soudaine du prestataire (Faillite);Supply Chain;Finance, Santé;Perte de service;D;A.5.21;Art. 28;Résilience tiers;4;L'éditeur du logiciel métier dépose le bilan, laissant le client sans support ni mises à jour de sécurité.;Clause d'escrow (dépôt du code source chez un tiers) et plan de sortie.
R-SUP-08;Non-respect des SLA de sécurité par le tiers;Supply Chain;Tous;Défaut de gestion;DIC;A.5.21;Art. 28;Gestion des risques;3;Le prestataire met 15 jours à patcher une faille critique malgré un contrat exigeant 48h.;Audits réguliers et pénalités financières contractuelles.
R-SUP-09;Soumission de données à une IA publique;Supply Chain;Tous;Fuite d'info;C;A.8.12;Art. 9;Protection données;4;Un prestataire externe colle le code source confidentiel du client dans ChatGPT pour le débugger.;Politique d'usage de l'IA et clauses de confidentialité spécifiques.
R-SUP-10;Changement de juridiction du Cloud (Cloud Act);Supply Chain;Secteur Public, Santé;Saisie légale;C;A.5.37;Art. 28;Souveraineté;4;Le fournisseur Cloud est racheté par une entité américaine, soumettant les données européennes au Cloud Act.;Privilégier un Cloud souverain ou chiffrement avec gestion des clés par le client (BYOK).
R-SUP-11;Défaut de sécurité du 'Dernier Kilomètre' (Logistique);Supply Chain;Industrie;Interception;C;A.7.9;Art. 9;Sécurité physique;3;Un colis contenant des serveurs configurés est intercepté et modifié pendant le transport.;Scellés de sécurité sur les colis et réinitialisation à réception.
R-SUP-12;Vente de données par un partenaire commercial;Supply Chain;Santé, Finance;Violation RGPD;C;A.5.21;N/A;Protection données;5;Un courtier en données partenaire revend les listes clients sans consentement.;Clauses contractuelles strictes et droit d'audit.
R-SUP-13;Sous-traitance en cascade non maîtrisée;Supply Chain;Tous;Perte de contrôle;DIC;A.5.21;Art. 28;Chaîne d'approvisionnement;3;Le prestataire principal sous-traite à une entreprise non sécurisée sans informer le client.;Interdiction ou validation préalable de la sous-traitance de rang 2.
R-SUP-14;Absence de correctifs sur matériel 'White Label';Supply Chain;Tous;Obsolescence;D;A.8.8;N/A;Gestion vulnérabilités;3;Un routeur acheté en marque blanche ne reçoit plus de mise à jour après 1 an car le constructeur a disparu.;Vérifier la politique de cycle de vie avant achat.
R-SUP-15;Outil de monitoring utilisé comme vecteur d'attaque;Supply Chain;Finance, Énergie;Propagation;DIC;A.8.15;Art. 10;Détection;5;L'agent de supervision (type SolarWinds) est détourné pour exécuter des commandes sur tout le parc.;Isolation réseau des flux de management et monitoring des comportements de l'agent.
R-SUP-16;Rupture de stock de composants critiques;Supply Chain;Industrie;Arrêt prod;D;N/A;Art. 11;Continuité;4;L'impossibilité de racheter une carte contrôleur spécifique bloque la ligne de production pendant 2 mois.;Stock stratégique de pièces de rechange critiques sur site.
R-SUP-17;Certificat SSL expiré chez un tiers;Supply Chain;Tous;Indisponibilité;D;A.8.24;Art. 9;Sécurité réseaux;2;L'API du partenaire est injoignable car son certificat TLS n'a pas été renouvelé.;Outils de monitoring externe des endpoints tiers.
R-SUP-18;Fuite de données chez le cabinet comptable/RH;Supply Chain;Tous;Atteinte image;C;A.5.21;N/A;Risque réputationnel;4;Le cabinet externe gérant la paie subit un ransomware, les bulletins de salaire sont sur le Darkweb.;Exiger une certification (ISO 27001 ou ISAE 3402) du prestataire.
R-SUP-19;Malware pré-installé sur PC reconditionné;Supply Chain;Secteur Public;Espionnage;C;A.7.9;N/A;Hygiène informatique;4;Des PC achetés en reconditionnés contiennent un keylogger dans l'image d'usine.;Réinstallation complète via une image master propre dès réception.
R-SUP-20;Portail support client compromis;Supply Chain;Tous;Phishing ciblé;C;A.5.22;Art. 9;Gestion incidents;3;Un attaquant prend le contrôle du portail de tickets et envoie des malwares aux clients via les réponses de support.;Authentification forte pour les clients et scan des pièces jointes.
R-AIA-01;Fuite de données via Prompt (Shadow AI);IA;Tous;Exfiltration;C;A.8.12;Art. 9;Protection données;4;Un employé soumet des données clients ou du code source confidentiel à une IA publique pour analyse.;Politique d'usage IA et déploiement d'instances privées (Private LLM).
R-AIA-02;Attaque par 'Prompt Injection';IA;Développement;Manipulation;I;A.8.25;Art. 9;Sécurité logicielle;4;Un utilisateur malveillant détourne l'IA via des commandes cachées pour lui faire ignorer ses filtres de sécurité.;Filtrage des entrées et isolation des privilèges de l'IA.
R-AIA-03;Empoisonnement des données d'entraînement (Data Poisoning);IA;Finance, Santé;Manipulation;I;N/A;Art. 10;Intégrité des données;5;Un attaquant corrompt les données sources pour que l'IA produise des résultats biaisés ou malveillants.;Contrôle de provenance des datasets et audit des modèles.
R-AIA-04;Hallucinations et décisions erronées;IA;Santé, Finance;Erreur technique;I;N/A;Art. 10;Résilience;4;L'IA génère une réponse factuellement fausse qui est utilisée pour une décision médicale ou financière critique.;Validation humaine obligatoire (Human-in-the-loop).
R-AIA-05;Violation de copyright / Propriété Intellectuelle;IA;Tous;Risque juridique;C;A.5.31;N/A;Conformité;3;L'IA génère du contenu ou du code qui viole des droits d'auteur, exposant l'entreprise à des poursuites.;Utiliser des modèles entraînés sur des données libres de droits (Enterprise-grade).
R-AIA-06;Exfiltration du modèle (Model Inversion);IA;Technologie;Vol de PI;C;A.8.1;N/A;Protection actifs;4;Un attaquant interroge massivement l'API pour reconstruire le modèle ou deviner les données d'entraînement.;Limitation du débit (Rate limiting) et ajout de bruit (Diff. Privacy).
R-AIA-07;Biais algorithmiques et discrimination;IA;RH, Secteur Public;Éthique;I;N/A;N/A;Conformité AI Act;3;L'IA de recrutement écarte systématiquement certains profils suite à un biais dans ses données d'apprentissage.;Audits d'équité (Fairness audits) et datasets diversifiés.
R-AIA-08;Dépendance critique à un fournisseur d'IA (Lock-in);IA;Tous;Rupture de service;D;A.5.21;Art. 28;Résilience tiers;4;La modification brutale des conditions tarifaires ou l'arrêt de l'API bloque les processus métiers dépendants.;Stratégie multi-modèles et abstraction via API gateway.
R-AIA-09;Attaque par 'Evasion' (Adversarial Examples);IA;Industrie, Énergie;Manipulation;I;N/A;N/A;Sécurité OT;4;Une image modifiée de façon invisible pour l'humain trompe une IA de contrôle qualité ou de surveillance.;Entraînement robuste (Adversarial training).
R-AIA-10;Utilisation de l'IA pour le phishing ciblé (Spear Phishing);IA;RH, Finance;Ingénierie sociale;C;6.3;Art. 13;Sensibilisation;5;Un attaquant utilise l'IA pour générer des mails parfaits et ultra-personnalisés imitant le ton du CEO.;Renforcement de la sensibilisation et authentification multifacteur.
R-AIA-11;Non-conformité à l'EU AI Act;IA;Tous;Sanction;C;N/A;N/A;Gouvernance;5;L'entreprise déploie un système d'IA interdit ou à haut risque sans l'audit réglementaire requis.;Classification des systèmes d'IA selon la matrice de risque AI Act.
R-AIA-12;Fuite de secrets via les logs d'IA;IA;Développement;Exfiltration;C;A.8.15;Art. 10;Gestion logs;3;Les prompts contenant des mots de passe sont enregistrés en clair dans les journaux d'audit de l'IA.;Anonymisation automatique des logs (Data Masking).
R-AIA-13;Obsolescence rapide des modèles IA;IA;Tous;Inefficacité;I;N/A;N/A;Gestion actifs;2;Le modèle utilisé devient moins performant car les données du monde réel ont évolué (Model Drift).;Monitoring de la performance et ré-entraînement périodique.
R-AIA-14;Shadow AI par détournement d'API;IA;Développement;Utilisation illicite;D;A.8.2;Art. 9;Contrôle accès;3;Un employé utilise sa clé d'API pro pour des projets personnels, consommant tout le quota.;Surveillance de la consommation d'API et clés nominatives.
R-AIA-15;Deepfake utilisé pour contourner la biométrie;IA;Finance;Usurpation;C;A.9.2;Art. 9;Contrôle accès;5;Une injection vidéo de type Deepfake trompe le système de reconnaissance faciale 'Know Your Customer'.;Détection de vivant (Liveness detection) multi-spectrale.
R-AIA-16;Contamination des résultats par IA générative (Feedback Loop);IA;Tous;Perte de qualité;I;N/A;N/A;Intégrité;2;Les IA futures sont entraînées sur du contenu produit par IA, dégradant la fiabilité des informations.;Marquage des contenus produits par IA (Watermarking).
R-AIA-17;Manque de transparence (Boîte noire);IA;Finance, Santé;Défaut d'audit;I;N/A;Art. 10;Responsabilisation;3;Incapacité d'expliquer pourquoi l'IA a refusé un crédit ou un diagnostic, violant le droit à l'explication.;Privilégier les modèles d'IA explicables (XAI).
R-AIA-18;Fuite de 'System Prompt';IA;Tous;Ingénierie sociale;C;N/A;N/A;Protection info;2;Un attaquant force l'IA à révéler ses instructions de base, révélant les limites et faiblesses du système.;Tests d'intrusion spécifiques aux LLM (Red Teaming).
R-AIA-19;Infection via plugin/extension IA;IA;Tous;Malware;DIC;A.8.28;Art. 28;Accès tiers;4;Une extension tierce installée dans le navigateur pour 'aider' l'IA vole les cookies de session.;Restriction des extensions autorisées sur les postes de travail.
R-AIA-20;Consommation énergétique excessive (Risque ESG);IA;Tous;Impact financier;D;N/A;N/A;Gouvernance;2;Le coût énergétique des calculs IA impacte la rentabilité et les rapports de durabilité de l'entreprise.;Optimisation des requêtes et choix de modèles frugaux.
R-HOS-01;Indisponibilité du Dossier Patient Informatisé (DPI);Santé;Santé;Ransomware / Panne;D;A.5.30;N/A;Continuité des soins;5;Un ransomware bloque l'accès aux dossiers médicaux, forçant l'arrêt des admissions et opérations.;Backups immuables et mode dégradé papier testé.
R-HOS-02;Piratage de dispositif médical connecté (IoMT);Santé;Santé;Sabotage / Malware;I;A.8.20;N/A;Sécurité des dispositifs;5;Un attaquant modifie les seuils d'une pompe à insuline ou d'un moniteur cardiaque via le Wi-Fi.;Segmentation VLAN dédiée aux dispositifs médicaux (réseau ISO-MED).
R-HOS-03;Exfiltration de données de santé (Données Sensibles);Données;Santé;Vol de données;C;A.8.11;N/A;Protection données;5;La base de données des patients est revendue sur le Darkweb, violant gravement le RGPD.;Chiffrement de la base et détection d'exfiltration (DLP).
R-HOS-04;Accès illégitime au dossier d'une personnalité;Santé;Santé;Curiosité interne;C;A.8.2;N/A;Contrôle d'accès;3;Un soignant consulte le dossier médical d'une célébrité sans être impliqué dans les soins.;Journalisation stricte des consultations et alertes sur accès atypiques.
R-HOS-05;Interruption des systèmes de monitorage centralisé;Santé;Santé;Panne réseau;D;A.8.20;N/A;Sécurité réseaux;5;Le serveur central de surveillance des constantes ne reçoit plus les alertes des chambres.;Redondance des commutateurs réseau et monitoring 24/7.
R-HOS-06;Usurpation d'identité pour prescription;Santé;Santé;Fraude;I;A.9.2;N/A;Responsabilisation;4;Un individu utilise une session restée ouverte pour prescrire des stupéfiants.;Verrouillage automatique des sessions et badges de déconnexion rapide.
R-HOS-07;Dysfonctionnement du système de transport pneumatique;Santé;Santé;Sabotage physique;D;A.7.2;N/A;Sécurité installations;3;Le réseau de transport des prélèvements sanguins est bloqué, retardant les résultats d'urgence.;Maintenance préventive et surveillance vidéo des points d'accès.
R-HOS-08;Contamination par un prestataire de maintenance biomédicale;Supply Chain;Santé;Rebond attaque;DIC;A.5.22;N/A;Accès tiers;4;Un technicien externe branche un PC infecté sur le scanner/IRM pour maintenance.;Utilisation de stations blanches et contrôle des accès externes.
R-HOS-09;Perte de traçabilité des dispositifs stérilisés;Santé;Santé;Erreur de données;I;N/A;N/A;Sécurité des soins;4;Une corruption de la base de données empêche de savoir si les instruments chirurgicaux ont été stérilisés.;Doublage de la traçabilité (numérique + indicateur physique).
R-HOS-10;Retard de mise à jour sur des équipements critiques (IRM/Scan);Santé;Santé;Obsolescence;DIC;A.8.8;N/A;Gestion vulnérabilités;4;Le constructeur refuse de patcher une console d'imagerie tournant sous Windows 7.;Isolation réseau stricte et filtrage via pare-feu applicatif.
R-HOS-11;Panne du système d'appel malade;Physique;Santé;Panne technique;D;A.7.5;N/A;Continuité;4;Les patients ne peuvent plus appeler les soignants en cas de détresse suite à un crash serveur IP.;Système d'appel autonome de secours (radio ou filaire simple).
R-HOS-12;Détournement de la télémédecine (Vidéo-consultation);Santé;Santé;Espionnage;C;A.5.37;N/A;Confidentialité;3;Une faille dans l'application de télémédecine permet d'intercepter des consultations privées.;Utilisation de solutions certifiées HDS (Hébergeur de Données de Santé).
R-HOS-13;Saturation du réseau Wi-Fi par les patients;Opérations;Santé;Déni de service;D;A.8.20;N/A;Performance;3;Le Wi-Fi utilisé par les tablettes de soins est paralysé par le streaming des patients.;Séparation physique ou logique (QoS) entre Wi-Fi Public et Wi-Fi Médical.
R-HOS-14;Erreur d'identification patient (Identitovigilance);Données;Santé;Erreur humaine;I;N/A;N/A;Sécurité des soins;5;Une erreur dans le système informatique fusionne deux dossiers patients (homonymes).;Processus d'identitovigilance avec vérification par bracelet QR Code.
R-HOS-15;Vol de serveurs ou de NAS dans des locaux isolés;Physique;Santé;Vol physique;C;A.7.2;N/A;Sécurité installations;4;Un serveur de stockage d'images médicales est volé dans une antenne déportée de l'hôpital.;Chiffrement des disques au repos et locaux sécurisés par badge.
R-HOS-16;Indisponibilité du système de gestion de la pharmacie;Santé;Santé;Panne;D;N/A;N/A;Continuité;4;Le robot de délivrance des médicaments est en panne, bloquant la distribution dans les services.;Stock d'urgence décentralisé et procédure manuelle de délivrance.
